Entity,Code,Date,grocery_and_pharmacy
Angola,AGO,2020-08-26,-4.857
Angola,AGO,2020-08-27,-4.143
Angola,AGO,2020-08-28,-3.571
Angola,AGO,2020-08-29,-2.429
Angola,AGO,2020-08-30,-1.714
Angola,AGO,2020-08-31,-0.286
Angola,AGO,2020-09-01,1.143
Angola,AGO,2020-09-02,2.143
Angola,AGO,2020-09-03,3.429
Angola,AGO,2020-09-04,4.286
Angola,AGO,2020-09-05,4.571
Angola,AGO,2020-09-06,4.714
Angola,AGO,2020-09-07,4.571
Angola,AGO,2020-09-08,4.286
Angola,AGO,2020-09-09,3.714
Angola,AGO,2020-09-10,2.571
Angola,AGO,2020-09-11,2
Angola,AGO,2020-09-12,0.571
Angola,AGO,2020-09-13,-0.286
Angola,AGO,2020-09-14,-1.571
Angola,AGO,2020-09-15,-2.714
Angola,AGO,2020-09-16,-2
Angola,AGO,2020-09-17,-4.571
Angola,AGO,2020-09-18,-6.714
Angola,AGO,2020-09-19,-8.143
Angola,AGO,2020-09-20,-9.286
Angola,AGO,2020-09-21,-9.571
Angola,AGO,2020-09-22,-10.143
Angola,AGO,2020-09-23,-11.714
Angola,AGO,2020-09-24,-10.286
Angola,AGO,2020-09-25,-8.429
Angola,AGO,2020-09-26,-6.714
Angola,AGO,2020-09-27,-5.429
Angola,AGO,2020-09-28,-4.571
Angola,AGO,2020-09-29,-3.429
Angola,AGO,2020-09-30,-2.143
Angola,AGO,2020-10-01,-1
Angola,AGO,2020-10-02,-0.143
Angola,AGO,2020-10-03,0.286
Angola,AGO,2020-10-04,0.857
Angola,AGO,2020-10-05,1.286
Angola,AGO,2020-10-06,1.143
Angola,AGO,2020-10-07,1
Angola,AGO,2020-10-08,0.714
Angola,AGO,2020-10-09,-0.143
Angola,AGO,2020-10-10,-1.286
Angola,AGO,2020-10-11,-2.429
Angola,AGO,2020-10-12,-3.143
Angola,AGO,2020-10-13,-3.571
Angola,AGO,2020-10-14,-3.714
Angola,AGO,2020-10-15,-3.571
Angola,AGO,2020-10-16,-3.286
Angola,AGO,2020-10-17,-3.286
Angola,AGO,2020-10-18,-3
Angola,AGO,2020-10-19,-3
Angola,AGO,2020-10-20,-3.429
Angola,AGO,2020-10-21,-3.571
Angola,AGO,2020-10-22,-4
Angola,AGO,2020-10-23,-4
Angola,AGO,2020-10-24,-3.143
Angola,AGO,2020-10-25,-2.286
Angola,AGO,2020-10-26,-1.571
Angola,AGO,2020-10-27,0
Angola,AGO,2020-10-28,0.714
Angola,AGO,2020-10-29,2.286
Angola,AGO,2020-10-30,2.714
Angola,AGO,2020-10-31,3.857
Angola,AGO,2020-11-01,4.286
Angola,AGO,2020-11-02,1.571
Angola,AGO,2020-11-03,1.571
Angola,AGO,2020-11-04,1
Angola,AGO,2020-11-05,0.857
Angola,AGO,2020-11-06,0.429
Angola,AGO,2020-11-07,-0.714
Angola,AGO,2020-11-08,-2
Angola,AGO,2020-11-09,0.143
Angola,AGO,2020-11-10,0.571
Angola,AGO,2020-11-11,-4.857
Angola,AGO,2020-11-12,-5.714
Angola,AGO,2020-11-13,-7.143
Angola,AGO,2020-11-14,-7.571
Angola,AGO,2020-11-15,-7.714
Angola,AGO,2020-11-16,-8
Angola,AGO,2020-11-17,-9.429
Angola,AGO,2020-11-18,-4.571
Angola,AGO,2020-11-19,-4.714
Angola,AGO,2020-11-20,-3.714
Angola,AGO,2020-11-21,-3.571
Angola,AGO,2020-11-22,-3.286
Angola,AGO,2020-11-23,-3.286
Angola,AGO,2020-11-24,-2.714
Antigua and Barbuda,ATG,2020-02-17,-2
Antigua and Barbuda,ATG,2020-02-18,-3
Antigua and Barbuda,ATG,2020-02-19,-2.6
Antigua and Barbuda,ATG,2020-02-20,-2.5
Antigua and Barbuda,ATG,2020-02-21,-2
Antigua and Barbuda,ATG,2020-02-22,-1.857
Antigua and Barbuda,ATG,2020-02-23,-1.143
Antigua and Barbuda,ATG,2020-02-24,-0.571
Antigua and Barbuda,ATG,2020-02-25,0.286
Antigua and Barbuda,ATG,2020-02-26,0.571
Antigua and Barbuda,ATG,2020-02-27,1
Antigua and Barbuda,ATG,2020-02-28,1.429
Antigua and Barbuda,ATG,2020-02-29,2.429
Antigua and Barbuda,ATG,2020-03-01,3.286
Antigua and Barbuda,ATG,2020-03-02,4.286
Antigua and Barbuda,ATG,2020-03-03,5
Antigua and Barbuda,ATG,2020-03-04,5.429
Antigua and Barbuda,ATG,2020-03-05,5.857
Antigua and Barbuda,ATG,2020-03-06,6.429
Antigua and Barbuda,ATG,2020-03-07,6.286
Antigua and Barbuda,ATG,2020-03-08,5.286
Antigua and Barbuda,ATG,2020-03-09,4.714
Antigua and Barbuda,ATG,2020-03-10,4.571
Antigua and Barbuda,ATG,2020-03-11,5.286
Antigua and Barbuda,ATG,2020-03-12,6.714
Antigua and Barbuda,ATG,2020-03-13,8.286
Antigua and Barbuda,ATG,2020-03-14,7.714
Antigua and Barbuda,ATG,2020-03-15,7.143
Antigua and Barbuda,ATG,2020-03-16,5.857
Antigua and Barbuda,ATG,2020-03-17,4.286
Antigua and Barbuda,ATG,2020-03-18,1.714
Antigua and Barbuda,ATG,2020-03-19,-0.714
Antigua and Barbuda,ATG,2020-03-20,-3.714
Antigua and Barbuda,ATG,2020-03-21,-4
Antigua and Barbuda,ATG,2020-03-22,-6.286
Antigua and Barbuda,ATG,2020-03-23,-7.571
Antigua and Barbuda,ATG,2020-03-24,-7.857
Antigua and Barbuda,ATG,2020-03-25,-7.286
Antigua and Barbuda,ATG,2020-03-26,-8
Antigua and Barbuda,ATG,2020-03-27,-7.429
Antigua and Barbuda,ATG,2020-03-28,-8.429
Antigua and Barbuda,ATG,2020-03-29,-8.857
Antigua and Barbuda,ATG,2020-03-30,-9
Antigua and Barbuda,ATG,2020-03-31,-7.286
Antigua and Barbuda,ATG,2020-04-01,-4.429
Antigua and Barbuda,ATG,2020-04-02,-14
Antigua and Barbuda,ATG,2020-04-03,-24
Antigua and Barbuda,ATG,2020-04-04,-32
Antigua and Barbuda,ATG,2020-04-05,-36.857
Antigua and Barbuda,ATG,2020-04-06,-43.143
Antigua and Barbuda,ATG,2020-04-07,-51.143
Antigua and Barbuda,ATG,2020-04-08,-60.429
Antigua and Barbuda,ATG,2020-04-09,-54.571
Antigua and Barbuda,ATG,2020-04-10,-58.429
Antigua and Barbuda,ATG,2020-04-11,-55.857
Antigua and Barbuda,ATG,2020-04-12,-55.429
Antigua and Barbuda,ATG,2020-04-13,-56.857
Antigua and Barbuda,ATG,2020-04-14,-56.714
Antigua and Barbuda,ATG,2020-04-15,-56.143
Antigua and Barbuda,ATG,2020-04-16,-58.143
Antigua and Barbuda,ATG,2020-04-17,-51.286
Antigua and Barbuda,ATG,2020-04-18,-52
Antigua and Barbuda,ATG,2020-04-19,-51.714
Antigua and Barbuda,ATG,2020-04-20,-49
Antigua and Barbuda,ATG,2020-04-21,-48.714
Antigua and Barbuda,ATG,2020-04-22,-49.143
Antigua and Barbuda,ATG,2020-04-23,-47
Antigua and Barbuda,ATG,2020-04-24,-45.429
