Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Sweden,Consumer Confidence,2003-02-28T00:00:00,93.3,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2003-03-31T00:00:00,89.5,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2003-04-30T00:00:00,91.1,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2003-05-31T00:00:00,93.2,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2003-06-30T00:00:00,96,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,2003-07-31T00:00:00,101.4,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2003-08-31T00:00:00,101.8,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2003-09-30T00:00:00,106.8,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,2003-10-31T00:00:00,100.6,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2003-11-30T00:00:00,95,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2003-12-31T00:00:00,95.1,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2004-01-31T00:00:00,100.6,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2004-02-29T00:00:00,105.6,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,2004-03-31T00:00:00,100.6,Monthly,SWECCI,2020-06-24T08:17:00
Sweden,Consumer Confidence,2004-04-30T00:00:00,105.6,Monthly,SWECCI,2019-12-18T08:25:00
Sweden,Consumer Confidence,2004-05-31T00:00:00,100.8,Monthly,SWECCI,2020-06-24T08:17:00
Sweden,Consumer Confidence,2004-06-30T00:00:00,104.1,Monthly,SWECCI,2020-03-26T09:32:00
Sweden,Consumer Confidence,2004-07-31T00:00:00,100.2,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,2004-08-31T00:00:00,103.2,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2004-09-30T00:00:00,103.4,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,2004-10-31T00:00:00,104.6,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,2004-11-30T00:00:00,104.8,Monthly,SWECCI,2020-02-27T08:25:00
Sweden,Consumer Confidence,2004-12-31T00:00:00,107.2,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,2005-01-31T00:00:00,107,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,2005-02-28T00:00:00,105,Monthly,SWECCI,2020-01-29T08:06:00
Sweden,Consumer Confidence,2005-03-31T00:00:00,108,Monthly,SWECCI,2019-12-18T08:25:00
Sweden,Consumer Confidence,2005-04-30T00:00:00,101.5,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,2005-05-31T00:00:00,103.1,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,2005-06-30T00:00:00,104.1,Monthly,SWECCI,2020-06-24T08:17:00
Sweden,Consumer Confidence,2005-07-31T00:00:00,104.3,Monthly,SWECCI,2020-03-26T09:32:00
Sweden,Consumer Confidence,2005-08-31T00:00:00,108.5,Monthly,SWECCI,2020-06-24T08:17:00
Sweden,Consumer Confidence,2005-09-30T00:00:00,107.1,Monthly,SWECCI,2019-12-18T08:25:00
Sweden,Consumer Confidence,2005-10-31T00:00:00,108.6,Monthly,SWECCI,2020-06-24T08:17:00
Sweden,Consumer Confidence,2005-11-30T00:00:00,107.8,Monthly,SWECCI,2019-12-18T08:25:00
Sweden,Consumer Confidence,2005-12-31T00:00:00,110.4,Monthly,SWECCI,2020-06-24T08:17:00
Sweden,Consumer Confidence,2006-01-31T00:00:00,115.9,Monthly,SWECCI,2020-06-24T08:17:00
Sweden,Consumer Confidence,2006-02-28T00:00:00,112.4,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2006-03-31T00:00:00,109.8,Monthly,SWECCI,2019-12-18T08:25:00
Sweden,Consumer Confidence,2006-04-30T00:00:00,110.9,Monthly,SWECCI,2020-06-24T08:17:00
Sweden,Consumer Confidence,2006-05-31T00:00:00,113.7,Monthly,SWECCI,2020-06-24T08:17:00
Sweden,Consumer Confidence,2006-06-30T00:00:00,109.7,Monthly,SWECCI,2020-02-27T08:25:00
Sweden,Consumer Confidence,2006-07-31T00:00:00,110,Monthly,SWECCI,2020-06-24T08:17:00
Sweden,Consumer Confidence,2006-08-31T00:00:00,108.4,Monthly,SWECCI,2020-03-26T09:32:00
Sweden,Consumer Confidence,2006-09-30T00:00:00,110.5,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,2006-10-31T00:00:00,110.7,Monthly,SWECCI,2020-06-24T08:17:00
Sweden,Consumer Confidence,2006-11-30T00:00:00,109.2,Monthly,SWECCI,2020-01-29T08:06:00
Sweden,Consumer Confidence,2006-12-31T00:00:00,109.3,Monthly,SWECCI,2020-03-26T09:32:00
Sweden,Consumer Confidence,2007-01-31T00:00:00,106.9,Monthly,SWECCI,2020-03-26T09:32:00
Sweden,Consumer Confidence,2007-02-28T00:00:00,111.1,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,2007-03-31T00:00:00,109.1,Monthly,SWECCI,2020-01-29T08:06:00
